"","x"
"1157",10437
"1158",10437
"1159",10437
"1160",10437
"1161",10437
"1162",10437
"1163",10437
"1164",10454
"1165",10454
"1166",10454
"1167",10454
"1168",10454
"1169",10454
"1170",10454
"1171",10454
"1172",10454
"1173",10454
"1174",10454
"1175",10454
"1176",10454
"1177",10454
"1178",10454
"1179",10454
"1180",10454
"1181",10454
"1182",10454
"1183",10454
"1184",10463
"1185",10463
"1186",10463
"1187",10463
"1188",10463
"1189",10463
"1190",10463
"1191",10463
"1192",10463
"1193",10463
"1194",10463
"1195",10463
"1196",10463
"1197",10463
"1198",10463
"1199",10463
"1200",10463
"1201",10463
"1202",10463
"1203",10463
"1204",10463
"1205",10463
"1206",10463
"1207",10463
"1208",10463
"1209",10463
"1210",10463
"1211",10584
"1212",10584
"1213",10584
"1214",10584
"1215",10584
"1216",10584
"1217",10584
"1218",10584
"1219",10584
"1220",10584
"1221",10584
"1222",10584
"1223",10584
"1224",10584
"1225",10584
"1226",10584
"1227",10584
"1228",10584
"1229",10584
"1230",10584
"1231",10584
"1232",10584
"1233",10584
"1234",10584
"1235",10584
"1236",10584
"1237",10584
"1238",10584
"1239",10584
"1240",10584
"1241",10584
"1242",10584
"1243",10584
"1244",10584
"1245",10584
"1246",10584
"1247",10584
"1248",12020
"1249",12020
"1250",12020
"1251",12020
"1252",12020
"1253",12020
"1254",12020
"1255",12020
"1256",12020
"1257",12020
"1258",12020
"1259",12020
"1260",12020
"1261",12020
"1262",12020
"1263",12020
"1264",12020
"1265",12020
"1266",12020
"1267",12020
